Algorithm,Base Algo,Training,Seed,Noise Level,Wind Power,Mean Reward
SARSA_Robust,SARSA,Robust,4,Extreme,20.0,-119.31250577257963
PPO,PPO,Baseline,4,None,0.0,166.0655086083928
PPO,PPO,Baseline,4,Low,5.0,107.87078033305474
PPO,PPO,Baseline,4,Medium,10.0,34.44451078267382
PPO,PPO,Baseline,4,High,15.0,-34.76421580028081
PPO,PPO,Baseline,4,Extreme,20.0,-67.33130490801119
PPO_Robust,PPO,Robust,4,None,0.0,165.0967845100351
PPO_Robust,PPO,Robust,4,Low,5.0,183.5776118966741
PPO_Robust,PPO,Robust,4,Medium,10.0,98.06082232479983
PPO_Robust,PPO,Robust,4,High,15.0,124.04917757855371
PPO_Robust,PPO,Robust,4,Extreme,20.0,56.577460041951326
